From start;Diff;From first
200789405;0;0
200789880;475;475
200790352;472;947
200790400;48;995
200790939;539;1534
200790983;44;1578
200791496;513;2091
200792307;811;2902
200792360;53;2955
200792856;496;3451
200792901;45;3496
200793322;421;3917
200793375;53;3970
200793801;426;4396
200793844;43;4439
200793880;36;4475
200794609;729;5204
200794651;42;5246
200795080;429;5675
200795762;682;6357
200795876;114;6471
200795901;25;6496
200795916;15;6511
200796116;200;6711
200796599;483;7194
200796767;168;7362
200797057;290;7652
200797826;769;8421
200797879;53;8474
200797896;17;8491
200798502;606;9097
200798521;19;9116
200799171;650;9766
200799197;26;9792
200799204;7;9799
200799557;353;10152
200799578;21;10173
200799998;420;10593
200800200;202;10795
200800451;251;11046
200800701;250;11296
200801119;418;11714
200801592;473;12187
200801607;15;12202
200801980;373;12575
200802380;400;12975
200802777;397;13372
200802945;168;13540
200803408;463;14003
200803436;28;14031
200803674;238;14269
200804132;458;14727
200804350;218;14945
200804364;14;14959
200804982;618;15577
200805132;150;15727
200805142;10;15737
200805929;787;16524
200806040;111;16635
200806181;141;16776
200806489;308;17084
200806947;458;17542
200807114;167;17709
200807396;282;17991
200807683;287;18278
200808055;372;18650
200808076;21;18671
200808574;498;19169
200808801;227;19396
200808841;40;19436
200809264;423;19859
200809445;181;20040
200810031;586;20626
200810250;219;20845
200810389;139;20984
200810688;299;21283
200811108;420;21703
200811672;564;22267
200811690;18;22285
200811982;292;22577
200812002;20;22597
200812011;9;22606
200812284;273;22879
200812295;11;22890
200812556;261;23151
200812858;302;23453
200812867;9;23462
200813137;270;23732
200813397;260;23992
200813673;276;24268
200813681;8;24276
200813918;237;24513
200815062;1144;25657
200815149;87;25744
200815687;538;26282
200816134;447;26729
200816148;14;26743
200816721;573;27316
200817066;345;27661
200817111;45;27706
200817546;435;28141
200817672;126;28267
200817975;303;28570
200818440;465;29035
200819003;563;29598
200819020;17;29615
200819462;442;30057
200819896;434;30491
200820053;157;30648
200820348;295;30943
200820873;525;31468
200821168;295;31763
200821557;389;32152
200821864;307;32459
200821878;14;32473
200822182;304;32777
200822202;20;32797
200822674;472;33269
200823053;379;33648
200823125;72;33720
200823574;449;34169
200823779;205;34374
200824082;303;34677
200824512;430;35107
200824960;448;35555
200825350;390;35945
200825413;63;36008
200825931;518;36526
200826361;430;36956
200826374;13;36969
200826791;417;37386
200826810;19;37405
200827180;370;37775
200827658;478;38253
200827672;14;38267
200827687;15;38282
200828338;651;38933
200828356;18;38951
200828930;574;39525
200828973;43;39568
200829375;402;39970
200829435;60;40030
200829788;353;40383
200829805;17;40400
200830381;576;40976
200830411;30;41006
200830753;342;41348
200831593;840;42188
200831618;25;42213
200831781;163;42376
200832370;589;42965
200832783;413;43378
200833242;459;43837
200833260;18;43855
200833582;322;44177
200834585;1003;45180
200834939;354;45534
200835849;910;46444
200836503;654;47098
200838455;1952;49050
200839855;1400;50450
200841644;1789;52239
200842471;827;53066
200842678;207;53273
200843403;725;53998
200844934;1531;55529
200845879;945;56474
200846482;603;57077
200847398;916;57993
200848124;726;58719
200849362;1238;59957
200849464;102;60059
200850637;1173;61232
200851315;678;61910
200851975;660;62570
200852941;966;63536
200853653;712;64248
200854731;1078;65326
200855435;704;66030
200856202;767;66797
200857336;1134;67931
200858491;1155;69086
200859041;550;69636
200859952;911;70547
200860912;960;71507
200861672;760;72267
200862864;1192;73459
200863683;819;74278
200864507;824;75102
200865839;1332;76434
200866856;1017;77451
200867436;580;78031
200868115;679;78710
200869319;1204;79914
200869972;653;80567
200870999;1027;81594
200871465;466;82060
200872031;566;82626
